-19 0 20 38 52 60 63 60 51 37 19 0 -20 -38 -52 -61 13131
0 20 38 52 60 63 60 51 37 19 0 -20 -38 -52 -61 -63 9433
20 38 52 60 63 60 51 37 19 0 -20 -38 -52 -61 -63 -60 4798
38 52 60 63 60 51 37 19 0 -20 -38 -52 -61 -63 -60 -51 -210
52 60 63 60 51 37 19 0 -20 -38 -52 -61 -63 -60 -51 -37 -5211
60 63 60 51 37 19 0 -20 -38 -52 -61 -63 -60 -51 -37 -19 -9752
63 60 51 37 19 0 -20 -38 -52 -61 -63 -60 -51 -37 -19 0 -13379
60 51 37 19 0 -20 -38 -52 -61 -63 -60 -51 -37 -19 0 20 -15727
51 37 19 0 -20 -38 -52 -61 -63 -60 -51 -37 -19 0 20 38 -16338
37 19 0 -20 -38 -52 -61 -63 -60 -51 -37 -19 0 20 38 52 -15552
19 0 -20 -38 -52 -61 -63 -60 -51 -37 -19 0 20 38 52 61 -13287
0 -20 -38 -52 -61 -63 -60 -51 -37 -19 0 20 38 52 61 63 -9630
-20 -38 -52 -61 -63 -60 -51 -37 -19 0 20 38 52 61 63 60 -4842
-38 -52 -61 -63 -60 -51 -37 -19 0 20 38 52 61 63 60 51 190
-52 -61 -63 -60 -51 -37 -19 0 20 38 52 61 63 60 51 37 5200
-61 -63 -60 -51 -37 -19 0 20 38 52 61 63 60 51 37 19 9835
-63 -60 -51 -37 -19 0 20 38 52 61 63 60 51 37 19 0 13277
-60 -51 -37 -19 0 20 38 52 61 63 60 51 37 19 0 -20 15519
-51 -37 -19 0 20 38 52 61 63 60 51 37 19 0 -20 -38 16348
-37 -19 0 20 38 52 61 63 60 51 37 19 0 -20 -38 -52 15663
-19 0 20 38 52 61 63 60 51 37 19 0 -20 -38 -52 -61 13232
0 20 38 52 61 63 60 51 37 19 0 -20 -38 -52 -61 -63 9433
20 38 52 61 63 60 51 37 19 0 -20 -38 -52 -61 -63 -60 4798
38 52 61 63 60 51 37 19 0 -20 -38 -52 -61 -63 -60 -51 -202
52 61 63 60 51 37 19 0 -20 -38 -52 -61 -63 -60 -51 -37 -5211
61 63 60 51 37 19 0 -20 -38 -52 -61 -63 -60 -51 -37 -19 -9752
63 60 51 37 19 0 -20 -38 -52 -61 -63 -60 -51 -37 -19 0 -13379
